BirdLife,eBird,Incu1,Incu2,Fldg1,Fldg2,Incu_Sex
Tetrao urogalloides,Tetrao urogalloides,20,25,10,,
Lyrurus tetrix,Lyrurus tetrix,25,27,63,63,F
Lyrurus mlokosiewiczi,Lyrurus mlokosiewiczi,20,25,10,14,F
Rhizothera longirostris,Rhizothera longirostris,18,19,,,
Rhizothera dulitensis,Rhizothera dulitensis,,,,,
Perdix hodgsoniae,Perdix hodgsoniae,,,,,
Perdix perdix,Perdix perdix,21,26,,,F
Perdix dauurica,Perdix dauurica,25,,,,F
Syrmaticus soemmerringii,Syrmaticus soemmerringii,24,25,,,
Syrmaticus reevesii,Syrmaticus reevesii,24,25,49,49,F
Syrmaticus mikado,Syrmaticus mikado,28,,,,
Syrmaticus ellioti,Syrmaticus ellioti,25,26,,,F
Syrmaticus humiae,Syrmaticus humiae,27,28,,,F
Chrysolophus pictus,Chrysolophus pictus,22,23,,,F
Chrysolophus amherstiae,Chrysolophus amherstiae,24,23,,,F
Phasianus colchicus,Phasianus colchicus,22,28,11,11,F
Phasianus versicolor,Phasianus versicolor,23,25,,,
Catreus wallichii,Catreus wallichii,26,,,,F
Crossoptilon harmani,Crossoptilon harmani,,,,,F
Crossoptilon crossoptilon,Crossoptilon crossoptilon,24,,,,F
Crossoptilon mantchuricum,Crossoptilon mantchuricum,26,27,,,F
Crossoptilon auritum,Crossoptilon auritum,24,28,,,F
Lophura edwardsi,Lophura edwardsi,21,22,,,
Lophura swinhoii,Lophura swinhoii,25,,,,F
Lophura bulweri,Lophura bulweri,24,25,,,
Lophura leucomelanos,Lophura leucomelanos,20,22,,,F
Lophura nycthemera,Lophura nycthemera,25,26,,,F
Lophura erythrophthalma,Lophura erythrophthalma,24,,,,
Lophura pyronota,Lophura pyronota,,,,,
Lophura diardi,Lophura diardi,24,25,,,
Lophura inornata,Lophura inornata,22,,,,
Lophura rufa,Lophura rufa,24,,,,F
Lophura ignita,Lophura ignita,24,,,,
Rheinardia ocellata,Rheinardia ocellata,24,25,,,
Rheinardia nigrescens,Rheinardia nigrescens,24,25,,,F
Argusianus argus,Argusianus argus,24,25,,,
Afropavo congensis,Afropavo congensis,25,28,,,F
Pavo cristatus,Pavo cristatus,28,30,,,F
Pavo muticus,Pavo muticus,26,28,,,F
Tropicoperdix chloropus,Tropicoperdix chloropus,,,,,
Tropicoperdix tonkinensis,,,,,,
Tropicoperdix charltonii,Tropicoperdix charltonii,,,,,
Tropicoperdix graydoni,Tropicoperdix graydoni,,,,,
Haematortyx sanguiniceps,Haematortyx sanguiniceps,18,19,,,
Galloperdix spadicea,Galloperdix spadicea,,,,,F
Galloperdix lunulata,Galloperdix lunulata,,,,,F
Galloperdix bicalcarata,Galloperdix bicalcarata,,,,,
Polyplectron napoleonis,Polyplectron napoleonis,18,20,,,F
Polyplectron schleiermacheri,Polyplectron schleiermacheri,20,22,,,
Polyplectron malacense,Polyplectron malacense,22,25,,,F
Polyplectron germaini,Polyplectron germaini,21,,,,
Polyplectron katsumatae,Polyplectron katsumatae,,,,,
Polyplectron bicalcaratum,Polyplectron bicalcaratum,21,,,,
Polyplectron inopinatum,Polyplectron inopinatum,19,21,,,F
Polyplectron chalcurum,Polyplectron chalcurum,22,,,,
Bambusicola fytchii,Bambusicola fytchii,18,19,,,F
Bambusicola thoracicus,Bambusicola thoracicus,17,19,,,F
Bambusicola sonorivox,Bambusicola sonorivox,,,,,
Gallus varius,Gallus varius,21,,,,
Gallus gallus,Gallus gallus,18,21,,,F
Gallus sonneratii,Gallus sonneratii,20,21,,,F
Gallus lafayettii,Gallus lafayettii,20,21,,,
Peliperdix lathami,Peliperdix lathami,,,,,
Ortygornis sephaena,Ortygornis sephaena,19,22,,,F
Ortygornis pondicerianus,Ortygornis pondicerianus,18,19,,,F
Ortygornis gularis,Ortygornis gularis,,,,,F
Francolinus pintadeanus,Francolinus pintadeanus,,,,,
Francolinus francolinus,Francolinus francolinus,18,21,35,35,F
Francolinus pictus,Francolinus pictus,,,,,F
Campocolinus coqui,Campocolinus coqui,,,,,
Campocolinus albogularis,Campocolinus albogularis,,,,,
Campocolinus schlegelii,Campocolinus schlegelii,,,,,
Scleroptila streptophora,Scleroptila streptophora,,,,,
Scleroptila levaillantii,Scleroptila levaillantii,22,,,,F
Scleroptila finschi,Scleroptila finschi,,,,,
Scleroptila psilolaema,Scleroptila psilolaema,,,,,
Scleroptila elgonensis,Scleroptila elgonensis,,,,,
Scleroptila afra,Scleroptila afra,21,23,35,42,F
Scleroptila gutturalis,Scleroptila gutturalis,20,21,35,42,F
Scleroptila shelleyi,Scleroptila shelleyi,22,,,,
